"MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","State","AU_ID","AU_NAME","Dist_to_AU_m","LongitudeMeasure","LatitudeMeasure"
"11NPSWRD_WQX-YELL_YSL_079","Yellowstone Lake Shoreline KM 79","Lake","Wyoming","MT41F005_010","Hebgen Lake",72713.3634668788,-110.288808900002,44.4515944000014
"11NPSWRD_WQX-YELL_YSL_080","Yellowstone Lake Shoreline KM 80","Lake","Wyoming","MT41F005_010","Hebgen Lake",72837.6728304519,-110.292710700002,44.4430646000014
"11NPSWRD_WQX-YELL_YSL_082","Yellowstone Lake Shoreline KM 82","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",73469.9228558694,-110.293392600002,44.4278007000014
"11NPSWRD_WQX-YELL_YSL_089","Yellowstone Lake Shoreline KM 89","Lake","Wyoming","WYBH100800010104_01","Brooks Lake",72035.4623455041,-110.242482800002,44.3870090000015
"11NPSWRD_WQX-YELL_YSL_091","Yellowstone Lake Shoreline KM 91","Lake","Wyoming","WYBH100800010104_01","Brooks Lake",70266.1832389493,-110.228600000002,44.3732000000015
"11NPSWRD_WQX-YELL_YSL_101","Yellowstone Lake Shoreline KM 101","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",71698.3530511459,-110.278312900002,44.3841748000014
"11NPSWRD_WQX-YELL_YSL_101A","Yellowstone Lake Shoreline KM 101A","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",71872.1539243947,-110.280074000002,44.3889850000014
"11NPSWRD_WQX-YELL_YSL_115","Yellowstone Lake Shoreline KM 115","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",65071.88688876,-110.315457400002,44.3122086000014
"11NPSWRD_WQX-YELL_YSL_120","Yellowstone Lake Shoreline KM 120","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",63381.1170943863,-110.356360700002,44.3327034000014
"11NPSWRD_WQX-YELL_YSL_121","Yellowstone Lake Shoreline KM 121","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",63381.3472247185,-110.356357400002,44.3327035000014
"11NPSWRD_WQX-YELL_YSL_128","Yellowstone Lake Shoreline KM 128","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",66680.1215987206,-110.352538000002,44.3822515000015
"11NPSWRD_WQX-YELL_YSL_144","Yellowstone Lake Shoreline KM 144","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",62144.5401018487,-110.416720000002,44.3758100000015
"11NPSWRD_WQX-YELL_YSL_148","Yellowstone Lake Shoreline KM 148","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",64916.8974300505,-110.389556800002,44.3913868000014
"11NPSWRD_WQX-YELL_YSL_153","Yellowstone Lake Shoreline KM 153","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",64726.9614089357,-110.398672300002,44.3969372000014
"11NPSWRD_WQX-YELL_YSL_158","Yellowstone Lake Shoreline KM 158","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",65150.3294716165,-110.414761000002,44.4168001000015
"11NPSWRD_WQX-YELL_YSL_163","Yellowstone Lake Shoreline KM 163","Lake","Wyoming","MT41F005_010","Hebgen Lake",61991.6627117532,-110.459884500002,44.4278772000014
"11NPSWRD_WQX-YELL_YSL_168","Yellowstone Lake Shoreline KM 168","Lake","Wyoming","ID17040203SK007_02L","Ernest Lake",68100.5831243165,-110.368932500002,44.4188593800015
"11NPSWRD_WQX-YELL_YSL_171","Yellowstone Lake Shoreline KM 171","Lake","Wyoming","MT41F005_010","Hebgen Lake",68482.4601676531,-110.362223600002,44.4317640000015
"11NPSWRD_WQX-YELL_YSL_175","Yellowstone Lake Shoreline KM 175","Lake","Wyoming","MT41F005_010","Hebgen Lake",64160.3427864474,-110.410236800002,44.4498967800014
"11NPSWRD_WQX-YELL_YSL_177","Yellowstone Lake Shoreline KM 177","Lake","Wyoming","MT41F005_010","Hebgen Lake",63707.2093855488,-110.378309300002,44.5071379200014
"11NPSWRD_WQX-YELL_YSL_058","Yellowstone Lake Shoreline KM 58","Lake","Wyoming","MT41F005_010","Hebgen Lake",63325.764114632,-110.359625400002,44.5536664000014
"COEOMAHA_WQX-FTPNFMORR1","FTPNFMORR1","Lake","Montana","MT40E004_010","Fort Peck Reservoir",25228.8162357905,-108.687200000002,47.6369700000014
"CSKTRIBE-FHL-BAB1","Big Arm Bay","Lake","Montana","MT76O003_010","Flathead Lake",10133.6688624094,-114.294723300002,47.8130589200011
"CSKTRIBE-FHL-EB1","East Bay","Lake","Montana","MT76O003_010","Flathead Lake",18606.1183799914,-114.085677600002,47.7174200400011
"CSKTRIBE-FHL-PBN1","Flathead Lake Polson Bay North","Lake","Montana","MT76O003_010","Flathead Lake",15916.9885461403,-114.146110000002,47.7419453000011
"CSKTRIBE-FHL-PBS1","Flathead Lake Polson Bay South","Lake","Montana","MT76O003_010","Flathead Lake",20253.3947307717,-114.172942900002,47.7030562800011
"CSKTRIBE-FLT-KK2020-PIPE","Unknown pipe near Flathead","Lake","Montana","MT76O003_010","Flathead Lake",21252.0506742081,-114.141536100002,47.6939111100011
"CSKTRIBE-FLUC","Flathead Lake Unknown Culvert","Lake","Montana","MT76O003_010","Flathead Lake",21751.4232538864,-114.178000000002,47.6896000000011
"CSKTRIBE-WSB","White Swan Bay","Lake","Montana","MT76O003_010","Flathead Lake",8255.79196134964,-114.189200000002,47.8111000000011
"FTBLKNAP-SBR-01","Snake Butte Reservoir","Lake","Montana","MT40M003_010","Lake Bowdoin",82110.6685890394,-108.836827100002,48.4030511000013
"FTBLKNAP-STR-01","Strike Reservoir","Lake","Montana","MT40M003_010","Lake Bowdoin",55783.0175366324,-108.480700500002,48.3874971000013
"MDEQ_WQ_WQX-M09SPMDL01","Spring Meadow Lake","Lake","Montana","MT41I007_010","Lake Helena",12131.9011184846,-112.076200000002,46.6111000000013
"MTVOLWQM_WQX-BA","Big Arm State Park","Lake","Montana","MT76O003_010","Flathead Lake",11444.7960713257,-114.310784000002,47.8066100000011
"MTVOLWQM_WQX-BF","Big Fork Docks","Lake","Montana","MT76O003_010","Flathead Lake",486.345367542633,-114.074977000002,48.0622400000011
"MTVOLWQM_WQX-BB","Blue Bay Campground","Lake","Montana","MT76O003_010","Flathead Lake",6438.38424887649,-114.028369000002,47.8269460000011
"MTVOLWQM_WQX-BOETTCHERPK","Boettcher Park","Lake","Montana","MT76O003_010","Flathead Lake",20726.3196747313,-114.134184000002,47.6986040000011
"MTVOLWQM_WQX-BIG SKY_2","Big Sky Lake South Hole","Lake","Montana","MT76F007_030","Salmon Lake",1760.36006479205,-113.387980000002,47.1133000000012
"MTVOLWQM_WQX-BIG SKY_3","Big Sky Lake (Fish Lake) at Boat Launch by Fish Creek","Lake","Montana","MT76F007_030","Salmon Lake",1984.37041060466,-113.382449000002,47.1116600000012
"MTVOLWQM_WQX-BS_ECOLI","BSECOLI","Lake","Montana","MT76F007_030","Salmon Lake",1963.03139819457,-113.382000000002,47.1110000000012
"MTVOLWQM_WQX-CLEARWATER_1","Clearwater Lake Deep","Lake","Montana","MT76F007_040","Lake Alva",7037.95762985565,-113.559611000002,47.3848630000011
"MTVOLWQM_WQX-CLEARWR_1","Clearwater River at Riverview/Dogtown Bridge","Lake","Montana","MT76F007_010","Seeley Lake",768.793007626177,-113.490619000002,47.1659340000012
"MTVOLWQM_WQX-HAB-BAILEY","Bailey Reservoir near mouth","Lake","Montana","MT40F005_010","Fresno Reservoir",17613.7689728734,-110.118270000002,48.4722100000013
"MTVOLWQM_WQX-HAB-BAKEREAST","East side of Baker Lake","Lake","Montana","MT39G002_010","Lamesteer National Wildlife Refuge",48443.1953238681,-104.268459000002,46.3639970000016
"MTVOLWQM_WQX-HAB-BRPW","Bearpaw Lake","Lake","Montana","MT40F005_010","Fresno Reservoir",36878.2070054214,-109.657600000002,48.3278000000013
"MTVOLWQM_WQX-HAB-BVRCKDM","Beaver Creek Reservoir near dam, Lower Lake","Lake","Montana","MT40F005_010","Fresno Reservoir",25819.606849805,-109.730200000002,48.4159000000013
"MTVOLWQM_WQX-HAB-COW-CCR2","Cow Creek Reservoir, north shore","Lake","Montana","MT40F005_010","Fresno Reservoir",74631.6896038079,-109.294000000002,48.0870000000013
"MTVOLWQM_WQX-HAB-DRYFORK","Dry Fork Reservoir, on Battle Creek, north of Chinook","Lake","Montana","MT40F005_010","Fresno Reservoir",52605.720511214,-109.223700000002,48.6650900000013
"MTVOLWQM_WQX-HAB-DRYGLCH","Dry Gulch pond","Lake","Montana","MT76F007_030","Salmon Lake",67761.6426848016,-113.978700000002,46.6094900000012
"MTVOLWQM_WQX-HAB-ELMO","Lake Elmo near Rogers Pier","Lake","Montana","MT43Q003_010","Spidel Waterfowl Production Area",42496.3084590171,-108.477610000002,45.8398300000014
"MTVOLWQM_WQX-HAB-FRNCHRS","Frenchman Reservoir near the dam","Lake","Montana","MT40M003_020","Nelson Reservoir",27593.7397410922,-107.236677000002,48.6944220000014
"MTVOLWQM_WQX-HAB-GLNLAKE","Glen Lake Rotary Park, also known as East Gallatin Recreation Area; pond","Lake","Montana","MT41H006_010","Hyalite Reservoir",24327.9974068871,-111.036850000002,45.7029600000014
"MTVOLWQM_WQX-HAB-HARRISLKRD","Harrison Reservoir near Lake Road","Lake","Montana","MT41F005_030","Ennis Lake",27899.4594885946,-111.704073000002,45.7006700000013
"MTVOLWQM_WQX-HAB-HARRISON","Harrison Reservoir (aka Willow Creek Reservoir). Site near dam","Lake","Montana","MT41F005_030","Ennis Lake",29419.3804412513,-111.700660000002,45.7147000000013
"MTVOLWQM_WQX-HAB-HERRINLK","Herrin Lake, a private pond outside Lincoln, MT","Lake","Montana","MT76F007_020","Nevada Lake",15757.9959724683,-112.688707000002,46.9202940000012
"MTVOLWQM_WQX-HAB-HLNREGRES","Helena Regulating Reservoir","Lake","Montana","MT41I007_040","Hauser Lake",5123.96655762759,-111.879870000002,46.6427200000013
"MTVOLWQM_WQX-HAB-HLTERCLTER","Holter Reservoir near Coulter campground","Lake","Montana","MT41I007_020","Holter Lake",1599.44804919507,-111.903800000002,46.8636930000012
"MTVOLWQM_WQX-HAB-HMSTDSBD","Homestead subdivision pond","Lake","Montana","MT41C004_010","Ruby River Reservoir",24285.3602868783,-112.177471000002,45.4533580000013
"MTVOLWQM_WQX-HAB-HYRONIMUS","Hyronimus Lake in Hamilton, MT","Lake","Montana","MT76H003_011","Painted Rocks Lake",60952.5832398126,-114.161808000002,46.2605630000012
"MTVOLWQM_WQX-HAB-KENDEDALK","Kendeda Lake Beach at the Gallatin County Regional Park","Lake","Montana","MT41H006_010","Hyalite Reservoir",24573.5443003085,-111.087572000002,45.6951750000014
"MTVOLWQM_WQX-HAB-MYSTICSUBDIV","Mystic Heights subdivision pond","Lake","Montana","MT41H006_010","Hyalite Reservoir",13269.8622224587,-111.043540000002,45.5979800000014
"MTVOLWQM_WQX-HAB-PARK","Park Lake outside of Helena, near campground","Lake","Montana","MT41I007_010","Lake Helena",31009.3408210607,-112.169410000002,46.4459100000013
"MTVOLWQM_WQX-HAB-SUNSUB1","Sundance subdivision pond near beach","Lake","Montana","MT41H006_010","Hyalite Reservoir",17555.4743420427,-111.033400000002,45.6410300000014
"MTVOLWQM_WQX-HAB-SUNSUB2","Sundance subdivision, south of beach","Lake","Montana","MT41H006_010","Hyalite Reservoir",17519.8838146687,-111.033340000002,45.6407100000014
"MTVOLWQM_WQX-HAB-SUNSUB3","Sundance subdivision, near inlet","Lake","Montana","MT41H006_010","Hyalite Reservoir",17487.9123823495,-111.033300000002,45.6404200000014
"MTVOLWQM_WQX-HAB-SUNSUB4","Sundance subdivision, southeast end","Lake","Montana","MT41H006_010","Hyalite Reservoir",17482.5689795242,-111.032750000002,45.6404700000014
"MTVOLWQM_WQX-HAB-SUNSUB5","Sundance subdivision, east side","Lake","Montana","MT41H006_010","Hyalite Reservoir",17535.0563665909,-111.032570000002,45.6409900000014
"MTVOLWQM_WQX-HAB-VALLEYWSUBDIV","Valley West subdivision pond in Bozeman","Lake","Montana","MT41H006_010","Hyalite Reservoir",23642.5178020016,-111.099470000002,45.6827200000014
"MTVOLWQM_WQX-HAB-WILLOWDM","Willow Creek Reservoir near dam","Lake","Montana","MT41F005_030","Ennis Lake",29341.3550875711,-111.699910000002,45.7140480000013
"MTVOLWQM_WQX-INEZ_1","Lake Inez North Hole","Lake","Montana","MT76F007_040","Lake Alva",1889.82857982841,-113.568410000002,47.2862300000011
"MTVOLWQM_WQX-INEZ_2","Lake Inez South Hole","Lake","Montana","MT76F007_040","Lake Alva",2759.29050030964,-113.565470000002,47.2785600000011
"MTVOLWQM_WQX-INEZ_3","Lake Inez off Rana Drive upper W side of lake","Lake","Montana","MT76F007_040","Lake Alva",1677.41506610514,-113.571160000002,47.2874980000011
"MTVOLWQM_WQX-INEZ_4","Lake Inez off Hwy 83 lower E side of lake","Lake","Montana","MT76F007_040","Lake Alva",2901.32636720509,-113.561261000002,47.2784910000012
"MTVOLWQM_WQX-INEZ_5","Lake Inez off Helms Rd S end of lake","Lake","Montana","MT76F007_040","Lake Alva",3436.74149316404,-113.568658000002,47.2714750000012
"MTVOLWQM_WQX-INEZ_6","Lake Inez at Boat Launch on N end of lake","Lake","Montana","MT76F007_040","Lake Alva",1114.73013166788,-113.568958000002,47.2943750000011
"MTVOLWQM_WQX-BS1","Big Sky","Lake","Montana","MT76F007_030","Salmon Lake",1543.16231021913,-113.396000000002,47.1160000000012
"MTVOLWQM_WQX-PL1","PLACID1","Lake","Montana","MT76F007_010","Seeley Lake",6476.20467237541,-113.521000000002,47.1180000000012
"MTVOLWQM_WQX-PL2","PLACID2","Lake","Montana","MT76F007_030","Salmon Lake",5664.22687930404,-113.504000000002,47.1190000000012
"MTVOLWQM_WQX-NS-1","Little Bitterroot Lake at Northwest Bay near shore","Lake","Montana","MT76O004_010","Ashley Lake",8781.143159847,-114.735600000002,48.1383000000011
"MTVOLWQM_WQX-NS-10","Little Bitterroot Lake at Kelsey Ct","Lake","Montana","MT76O004_010","Ashley Lake",9250.59376407844,-114.691900000002,48.1058010000011
"MTVOLWQM_WQX-NS-11","Little Bitterroot Lake south of Slaughter House Bay","Lake","Montana","MT76O004_010","Ashley Lake",9022.41078829997,-114.698600000002,48.1107700000011
"MTVOLWQM_WQX-NS-12","Little Bitterroot Lake at Slaughter House Bay","Lake","Montana","MT76O004_010","Ashley Lake",8469.22108853082,-114.702600000002,48.1186730000011
"MTVOLWQM_WQX-NS-2","Little Bitterroot Lake at Northeast Bay near shore","Lake","Montana","MT76O004_010","Ashley Lake",7459.63020341555,-114.711600000002,48.1368000000011
"MTVOLWQM_WQX-NS-3","Little Bitterroot Lake at Southeast Bay near shore","Lake","Montana","MT76O004_010","Ashley Lake",9921.41476119512,-114.688300000002,48.0979000000011
"MTVOLWQM_WQX-NS-4","Little Bitterroot Lake at Southwest Bay near shore","Lake","Montana","MT76O004_010","Ashley Lake",11069.7900917193,-114.729300000002,48.1030000000011
"MTVOLWQM_WQX-NS-5","Little Bitterroot Lake at West Bay near shore","Lake","Montana","MT76O004_010","Ashley Lake",9652.76434168061,-114.734610000002,48.1244620000011
"MTVOLWQM_WQX-NS-6","Little Bitterroot Lake at North Bay near shore","Lake","Montana","MT76O004_010","Ashley Lake",7733.40496614655,-114.718470000002,48.138665000001
"MTVOLWQM_WQX-NS-7","Little Bitterroot Lake at East Bay near shore","Lake","Montana","MT76O004_010","Ashley Lake",7680.27688697501,-114.712240000002,48.134253000001
"MTVOLWQM_WQX-NS-8","Little Bitterroot Lake at South Bay near shore","Lake","Montana","MT76O004_010","Ashley Lake",10791.0758774654,-114.699920000002,48.0929700000011
"MTVOLWQM_WQX-NS-9","Little Bitterroot Lake at Bay South of Island","Lake","Montana","MT76O004_010","Ashley Lake",9881.17622529147,-114.736600000002,48.1228510000011
"MTVOLWQM_WQX-IZ2","INEZ","Lake","Montana","MT76F007_040","Lake Alva",2727.93491836813,-113.565000000002,47.2790000000012
"MTVOLWQM_WQX-EL","Elmo","Lake","Montana","MT76O004_020","Lake Mary Ronan",10471.1412472435,-114.346869000002,47.8198820000011
"MTVOLWQM_WQX-FP","Finley Point State Park","Lake","Montana","MT76O003_010","Flathead Lake",14407.5011291821,-114.085735000002,47.7552040000011
"MTVOLWQM_WQX-PL3","PLACID3","Lake","Montana","MT76F007_030","Salmon Lake",3505.30789730721,-113.386000000002,47.1330000000012
"MTVOLWQM_WQX-PLACID_1","Placid Lake Midlake Hole","Lake","Montana","MT76F007_010","Seeley Lake",6458.63004464466,-113.521090000002,47.1181900000012
"MTVOLWQM_WQX-PLACID_2","Placid Lake North Finger Outlet Hole","Lake","Montana","MT76F007_010","Seeley Lake",5545.81803285529,-113.526170000002,47.1286400000012
"MTVOLWQM_WQX-PLACID_3","Placid Lake at Placid Lake Campground","Lake","Montana","MT76F007_030","Salmon Lake",5689.50041355651,-113.504465000002,47.1185840000012
"MTVOLWQM_WQX-PLACID_4","Placid Lake off Placid Lake Rd N","Lake","Montana","MT76F007_010","Seeley Lake",5202.33488049625,-113.529465000002,47.1334970000012
"MTVOLWQM_WQX-PLACID_5","Placid Lake off Placid Lake Rd S","Lake","Montana","MT76F007_030","Salmon Lake",6655.90019231578,-113.518760000002,47.1077510000012
"MTVOLWQM_WQX-PLACID_6","Placid Lake at Placid Lk Rd S Bridge (Vaughn Ck)","Lake","Montana","MT76F007_030","Salmon Lake",5482.10023331635,-113.502564000002,47.1150080000012
"MTVOLWQM_WQX-PL_ECOLI","PLECOLI","Lake","Montana","MT76F007_030","Salmon Lake",5426.02965782138,-113.502000000002,47.1140000000011
"MTVOLWQM_WQX-RAINY_1","Rainy Lake Deep","Lake","Montana","MT76F007_040","Lake Alva",1789.66884369756,-113.595044000002,47.3394190000012
"MTVOLWQM_WQX-RIVERSIDEPK","Riverside Park","Lake","Montana","MT76O003_010","Flathead Lake",21215.7452578711,-114.165850000002,47.6943610000011
"MTVOLWQM_WQX-SERIV_ECOLI","SERIVECOLI","Lake","Montana","MT76F007_010","Seeley Lake",873.558849793072,-113.490000000002,47.1650000000012
"MTVOLWQM_WQX-SP-1","Little Bitterroot Lake at Slaughter House Bay","Lake","Montana","MT76O004_010","Ashley Lake",8662.76606277926,-114.704200000002,48.1173000000011
"MTVOLWQM_WQX-SP-10","Little Bitterroot Lake at Northwest Bay","Lake","Montana","MT76O004_010","Ashley Lake",8579.94869526209,-114.731700000002,48.1378000000011
"MTVOLWQM_WQX-SP-2","Little Bitterroot Lake at Herrig Creek Bay","Lake","Montana","MT76O004_010","Ashley Lake",7704.33601605227,-114.716200000002,48.1371000000011
"MTVOLWQM_WQX-SP-3","Little Bitterroot Lake at Lock Bay","Lake","Montana","MT76O004_010","Ashley Lake",10181.300434014,-114.738400000002,48.1201000000011
"MTVOLWQM_WQX-SP-4","Little Bitterroot Lake southwest","Lake","Montana","MT76O004_010","Ashley Lake",10964.4148293627,-114.718800000002,48.098800000001
"MTVOLWQM_WQX-SP-5","Little Bitterroot Lake Center","Lake","Montana","MT76O004_010","Ashley Lake",9426.48669473804,-114.715600000002,48.1146000000011
"MTVOLWQM_WQX-SP-6","Little Bitterroot Lake southeast","Lake","Montana","MT76O004_010","Ashley Lake",10132.8480614357,-114.691200000002,48.0967000000011
"MTVOLWQM_WQX-SP","Salish Point","Lake","Montana","MT76O003_010","Flathead Lake",20866.8605446979,-114.161100000002,47.6974770000011
"MTVOLWQM_WQX-WP","Wolf Point","Lake","Montana","MT76O003_010","Flathead Lake",14361.1618086948,-114.154336000002,47.7559880000011
"MTWTRSHD_WQX-ABBOT","Abbot Lake at deep site","Lake","Montana","MT76O003_010","Flathead Lake",6527.33045304069,-114.051830000002,48.1177200000011
"MTWTRSHD_WQX-BAILEY","Bailey Lake at deep site","Lake","Montana","MT76P004_010","Whitefish Lake",16225.6280554733,-114.130460000002,48.4711400000011
"MTWTRSHD_WQX-BEAVER","Beaver Lake at deep site","Lake","Montana","MT76P004_010","Whitefish Lake",2365.25107329118,-114.421320000002,48.4330900000011
"MTWTRSHD_WQX-BIG-THERR","Big Therriault Lake at deep site","Lake","Montana","MT76D003_010","Lake Koocanusa",18910.4509341064,-114.876610000002,48.932540000001
"MTWTRSHD_WQX-BLAINE","Lake Blaine at deep site","Lake","Montana","MT76J002_010","Hungry Horse Reservoir",12173.7331427825,-114.119480000002,48.2451900000011
"MTWTRSHD_WQX-BLANCH","Blanchard Lake at deep site","Lake","Montana","MT76P004_010","Whitefish Lake",3558.29185927954,-114.365350000002,48.3835800000011
"MTWTRSHD_WQX-BOOTJACK","Bootjack Lake at deep site","Lake","Montana","MT76P004_010","Whitefish Lake",7281.2880445443,-114.494540000002,48.4236200000011
"MTWTRSHD_WQX-DICKEY","Dickey Lake at deep site","Lake","Montana","MT76D003_010","Lake Koocanusa",30912.9196342378,-114.814440000002,48.709620000001
"MTWTRSHD_WQX-DOLLAR","Dollar Lake at deep site","Lake","Montana","MT76P004_010","Whitefish Lake",1715.81581688592,-114.414800000002,48.446380000001
"MTWTRSHD_WQX-ECHO","Echo Lake at deep site","Lake","Montana","MT76O003_010","Flathead Lake",7541.65707313206,-114.034380000002,48.1223700000011
