ActivityTypeCode,ActivityMediaName,TADA.ActivityMediaName,ActivityMediaSubdivisionName,ResultSampleFractionText,TADA.ResultSampleFractionText,CharacteristicName,TADA.CharacteristicName,SubjectTaxonomicName,SampleTissueAnatomyName,MethodSpeciationName,TADA.MethodSpeciationName,TADA.ComparableDataIdentifier,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityStartDateTime,ResultMeasureValue,ResultMeasure.MeasureUnitCode,TADA.ResultMeasureValue,TADA.ResultMeasure.MeasureUnitCode,TADA.WQXResultUnitConversion,ResultValueTypeName,TADA.ResultMeasureValueDataTypes.Flag,ResultDetectionConditionText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,TADA.DetectionQuantitationLimitMeasure.MeasureValue,TADA.DetectionQuantitationLimitMeasure.MeasureUnitCode,TADA.DetectionQuantitationLimitMeasure.MeasureValueDataTypes.Flag,ResultDepthHeightMeasure.MeasureValue,TADA.ResultDepthHeightMeasure.MeasureValue,TADA.ResultDepthHeightMeasure.MeasureValueDataTypes.Flag,ResultDepthHeightMeasure.MeasureUnitCode,TADA.ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ActivityRelativeDepthName,ActivityDepthHeightMeasure.MeasureValue,TADA.ActivityDepthHeightMeasure.MeasureValue,TADA.ActivityDepthHeightMeasure.MeasureValueDataTypes.Flag,ActivityDepthHeightMeasure.MeasureUnitCode,TADA.ActivityDepthHeightMeasure.MeasureUnitCode,ActivityTopDepthHeightMeasure.MeasureValue,TADA.ActivityTopDepthHeightMeasure.MeasureValue,TADA.ActivityTopDepthHeightMeasure.MeasureValueDataTypes.Flag,ActivityTopDepthHeightMeasure.MeasureUnitCode,TADA.ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,TADA.ActivityBottomDepthHeightMeasure.MeasureValue,TADA.ActivityBottomDepthHeightMeasure.MeasureValueDataTypes.Flag,ActivityBottomDepthHeightMeasure.MeasureUnitCode,TADA.ActivityBottomDepthHeightMeasure.MeasureUnitCode,ResultTimeBasisText,StatisticalBaseCode,ResultFileUrl,ResultAnalyticalMethod.MethodName,ResultAnalyticalMethod.MethodDescriptionText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodUrl,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionMethod.MethodDescriptionText,SampleCollectionEquipmentName,MeasureQualifierCode,ResultStatusIdentifier,ResultCommentText,ActivityCommentText,HydrologicCondition,HydrologicEvent,DataQuality.PrecisionValue,DataQuality.BiasValue,DataQuality.ConfidenceIntervalValue,DataQuality.UpperConfidenceLimitValue,DataQuality.LowerConfidenceLimitValue,SamplingDesignTypeCode,LaboratoryName,ResultLaboratoryCommentText,ResultIdentifier,ActivityIdentifier,OrganizationIdentifier,OrganizationFormalName,ProjectName,ProjectDescriptionText,ProjectIdentifier,ProjectFileUrl,QAPPApprovedIndicator,QAPPApprovalAgencyName,CountryCode,StateCode,CountyCode,MonitoringLocationName,TADA.MonitoringLocationName,MonitoringLocationTypeName,TADA.MonitoringLocationTypeName,MonitoringLocationDescriptionText,LatitudeMeasure,TADA.LatitudeMeasure,LongitudeMeasure,TADA.LongitudeMeasure,HorizontalCoordinateReferenceSystemDatumName,HUCEightDigitCode,MonitoringLocationIdentifier,TADA.MonitoringLocationIdentifier,AquiferName,AquiferTypeName,LocalAqfrName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityConductingOrganizationText,SampleAquifer,ActivityLocation.LatitudeMeasure,ActivityLocation.LongitudeMeasure,ResultWeightBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,USGSPCode,BinaryObjectFileName,BinaryObjectFileTypeCode,AnalysisStartDate,ResultDetectionQuantitationLimitUrl,LabSamplePreparationUrl,ActivityStartTime.TimeZoneCode_offset,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,FormationTypeText,ProjectMonitoringLocationWeightingUrl,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,ProviderName,LastUpdated,TADA.Remove
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS NO3,NITRATE_DISSOLVED_AS NO3_MG/L,2/1/2021,15:00:00,MST,2/1/2021 22:00,0.241,mg/l asNO3,0.241,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-95 plastic bottle,,Accepted,,,"Stable, low stage",Regulated flow,,,,,,,,,NWIS-120449720,nwisut.01.02100520,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,9,,,Stream,STREAM,,40.90829296,40.90829296,-109.422914,-109.422914,NAD83,14040106,USGS-09234500,USGS-09234500,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,71851,,,,,,7,24000,1,seconds,Interpolated from MAP.,5594.21,feet,0.12,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,19400,sq mi,15100,sq mi,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS N,NITRATE_DISSOLVED_AS N_MG/L,2/11/2021,11:00:00,MST,2/11/2021 18:00,1.31,mg/l as N,1.31,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,70,USGS parameter code 82398,Grab sample  (dip),,US DH-81 with Teflon cap and nozzle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-120511066,nwisut.01.02100553,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.66430556,40.66430556,-111.898861,-111.898861,NAD83,16020204,USGS-10168000,USGS-10168000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,618,,,,,,7,,1,seconds,Interpolated from Digital MAP.,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,46,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Suspended,SUSPENDED,Nitrogen,NITROGEN,,,,,NITROGEN_SUSPENDED_NA_MG/L,2/11/2021,11:00:00,MST,2/11/2021 18:00,0.079,mg/l,0.079,MG/L,Convert,Actual,Numeric,,Long Term Method Detection Level,0.03,mg/l,0.03,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,"TPN, GF/F, combusion",,COMB7,USGS,,70,USGS parameter code 82398,Grab sample  (dip),,US DH-81 with Teflon cap and nozzle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,"USGS-National Water Quality Lab, Denver, CO",,NWIS-120511099,nwisut.01.02100553,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.66430556,40.66430556,-111.898861,-111.898861,NAD83,16020204,USGS-10168000,USGS-10168000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,49570,,,4/1/2021,,,7,,1,seconds,Interpolated from Digital MAP.,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,46,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS NO3,NITRATE_DISSOLVED_AS NO3_MG/L,2/11/2021,11:00:00,MST,2/11/2021 18:00,5.8,mg/l asNO3,5.8,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,70,USGS parameter code 82398,Grab sample  (dip),,US DH-81 with Teflon cap and nozzle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-120511191,nwisut.01.02100553,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.66430556,40.66430556,-111.898861,-111.898861,NAD83,16020204,USGS-10168000,USGS-10168000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,71851,,,,,,7,,1,seconds,Interpolated from Digital MAP.,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,46,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS N,NITRATE_DISSOLVED_AS N_MG/L,2/25/2021,13:30:00,MST,2/25/2021 20:30,0.644,mg/l as N,0.644,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-120600732,nwisut.01.02100604,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.66430556,40.66430556,-111.898861,-111.898861,NAD83,16020204,USGS-10168000,USGS-10168000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,618,,,,,,7,,1,seconds,Interpolated from Digital MAP.,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,46,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Suspended,SUSPENDED,Nitrogen,NITROGEN,,,,,NITROGEN_SUSPENDED_NA_MG/L,2/25/2021,13:30:00,MST,2/25/2021 20:30,0.043,mg/l,0.043,MG/L,Convert,Actual,Numeric,,Long Term Method Detection Level,0.03,mg/l,0.03,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,"TPN, GF/F, combusion",,COMB7,USGS,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,"USGS-National Water Quality Lab, Denver, CO",below the reporting level but at or above the detection level,NWIS-120600767,nwisut.01.02100604,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.66430556,40.66430556,-111.898861,-111.898861,NAD83,16020204,USGS-10168000,USGS-10168000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,49570,,,5/13/2021,,,7,,1,seconds,Interpolated from Digital MAP.,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,46,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS NO3,NITRATE_DISSOLVED_AS NO3_MG/L,2/25/2021,13:30:00,MST,2/25/2021 20:30,2.85,mg/l asNO3,2.85,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-120600858,nwisut.01.02100604,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.66430556,40.66430556,-111.898861,-111.898861,NAD83,16020204,USGS-10168000,USGS-10168000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,71851,,,,,,7,,1,seconds,Interpolated from Digital MAP.,4254.24,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,46,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS N,NITRATE_DISSOLVED_AS N_MG/L,2/25/2021,10:30:00,MST,2/25/2021 17:30,6.31,mg/l as N,6.31,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81 with Teflon cap and nozzle,,Accepted,,bottle date 2/25/21,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-120600909,nwisut.01.02100605,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.73355737,40.73355737,-111.9232703,-111.9232703,NAD83,16020204,USGS-10171000,USGS-10171000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,618,,,,,,7,,5,seconds,Interpolated from MAP.,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,3438,sq mi,3183,sq mi,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Suspended,SUSPENDED,Nitrogen,NITROGEN,,,,,NITROGEN_SUSPENDED_NA_MG/L,2/25/2021,10:30:00,MST,2/25/2021 17:30,0.119,mg/l,0.119,MG/L,Convert,Actual,Numeric,,Long Term Method Detection Level,0.03,mg/l,0.03,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,"TPN, GF/F, combusion",,COMB7,USGS,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81 with Teflon cap and nozzle,,Accepted,,bottle date 2/25/21,"Stable, normal stage",Routine sample,,,,,,,"USGS-National Water Quality Lab, Denver, CO",,NWIS-120600944,nwisut.01.02100605,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.73355737,40.73355737,-111.9232703,-111.9232703,NAD83,16020204,USGS-10171000,USGS-10171000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,49570,,,5/13/2021,,,7,,5,seconds,Interpolated from MAP.,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,3438,sq mi,3183,sq mi,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS NO3,NITRATE_DISSOLVED_AS NO3_MG/L,2/25/2021,10:30:00,MST,2/25/2021 17:30,27.9,mg/l asNO3,27.9,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81 with Teflon cap and nozzle,,Accepted,,bottle date 2/25/21,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-120601036,nwisut.01.02100605,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.73355737,40.73355737,-111.9232703,-111.9232703,NAD83,16020204,USGS-10171000,USGS-10171000,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,71851,,,,,,7,,5,seconds,Interpolated from MAP.,4222.64,feet,0.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,3438,sq mi,3183,sq mi,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS N,NITRATE_DISSOLVED_AS N_MG/L,2/25/2021,12:55:00,MST,2/25/2021 19:55,0.474,mg/l as N,0.474,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,20,USGS parameter code 82398,Equal discharge increment (edi),,US DH-81,,Accepted,,,Not applicable,Not applicable,,,,,,,,,NWIS-120606849,nwisut.01.02100606,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,37,,,Stream,STREAM,,37.293,37.293,-110.399,-110.399,NAD83,14080205,USGS-371735110235601,USGS-371735110235601,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,618,,,,,,7,24000,0.5,seconds,Interpolated from Digital MAP.,3703,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS NO3,NITRATE_DISSOLVED_AS NO3_MG/L,2/25/2021,12:55:00,MST,2/25/2021 19:55,2.1,mg/l asNO3,2.1,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,20,USGS parameter code 82398,Equal discharge increment (edi),,US DH-81,,Accepted,,,Not applicable,Not applicable,,,,,,,,,NWIS-120606907,nwisut.01.02100606,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,37,,,Stream,STREAM,,37.293,37.293,-110.399,-110.399,NAD83,14080205,USGS-371735110235601,USGS-371735110235601,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,71851,,,,,,7,24000,0.5,seconds,Interpolated from Digital MAP.,3703,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,,NITRATE_DISSOLVED_NA_NA,2/26/2021,12:00:00,MST,2/26/2021 19:00,,,,,No Result Value,Actual,NA - Not Available,Not Detected,Historical Lower Reporting Limit,0.01,mg/l as N,0.01,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-120607019,nwisut.01.02100616,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.77994627,40.77994627,-111.806045,-111.806045,NAD83,16020204,USGS-10172200,USGS-10172200,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,618,,,,,,7,24000,1,seconds,Interpolated from MAP.,5403.38,feet,0.18,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,7.25,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,,NITRATE_DISSOLVED_NA_NA,2/26/2021,12:00:00,MST,2/26/2021 19:00,,,,,No Result Value,Actual,NA - Not Available,Not Detected,Historical Lower Reporting Limit,0.044,mg/l asNO3,0.044,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,70,USGS parameter code 82398,Grab sample  (dip),,Open-Mouth Bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-120607046,nwisut.01.02100616,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Stream,STREAM,,40.77994627,40.77994627,-111.806045,-111.806045,NAD83,16020204,USGS-10172200,USGS-10172200,,,,,,,,,,,,,U.S. Geological Survey,,,,,,,71851,,,,,,7,24000,1,seconds,Interpolated from MAP.,5403.38,feet,0.18,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,,,7.25,sq mi,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Groundwater,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS N,NITRATE_DISSOLVED_AS N_MG/L,2/9/2021,13:15:00,MST,2/9/2021 20:15,0.935,mg/l as N,0.935,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,USGS,USGS,USGS,,Unknown,,Preliminary,,,Not applicable,Not applicable,,,,,,,,,NWIS-120617384,nwisut.01.02100617,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Well,WELL,,40.62818889,40.62818889,-111.9120944,-111.9120944,NAD83,16020204,USGS-403743111544000,USGS-403743111544000,Basin and Range basin-fill aquifers,Confined multiple aquifers,,3/15/1972,391,ft,391,ft,,,,,U.S. Geological Survey,,,,,,,618,,,,,,7,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),4280,feet,2.5,feet,Interpolated from topographic map.,NGVD29,Valley Fill,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Groundwater,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS NO3,NITRATE_DISSOLVED_AS NO3_MG/L,2/9/2021,13:15:00,MST,2/9/2021 20:15,4.14,mg/l asNO3,4.14,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,USGS,USGS,USGS,,Unknown,,Preliminary,,,Not applicable,Not applicable,,,,,,,,,NWIS-120617695,nwisut.01.02100617,USGS-UT,USGS Utah Water Science Center,,,National Water Quality Assessment Program (NAWQA),,,,US,49,35,,,Well,WELL,,40.62818889,40.62818889,-111.9120944,-111.9120944,NAD83,16020204,USGS-403743111544000,USGS-403743111544000,Basin and Range basin-fill aquifers,Confined multiple aquifers,,3/15/1972,391,ft,391,ft,,,,,U.S. Geological Survey,,,,,,,71851,,,,,,7,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),4280,feet,2.5,feet,Interpolated from topographic map.,NGVD29,Valley Fill,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS N,NITRATE_DISSOLVED_AS N_MG/L,3/3/2021,11:30:00,MST,3/3/2021 18:30,0.01,mg/l as N,0.01,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,20,USGS parameter code 82398,Equal discharge increment (edi),,US DH-81,,Accepted,,,"Stable, low stage",Routine sample,,,,,,,,,NWIS-120639725,nwisut.01.02100645,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,3,,,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",,41.2341064,41.2341064,-112.3371697,-112.3371697,NAD83,16020310,USGS-10010060,USGS-10010060,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,618,,,,,,7,,0.5,seconds,Interpolated from MAP.,4210,feet,10,feet,Interpolated from topographic map.,NGVD29,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,AS NO3,NITRATE_DISSOLVED_AS NO3_MG/L,3/3/2021,11:30:00,MST,3/3/2021 18:30,0.046,mg/l asNO3,0.046,MG/L,Convert,Actual,Numeric,,,,,,,NA - Not Available,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,20,USGS parameter code 82398,Equal discharge increment (edi),,US DH-81,,Accepted,,,"Stable, low stage",Routine sample,,,,,,,,,NWIS-120639742,nwisut.01.02100645,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,3,,,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",,41.2341064,41.2341064,-112.3371697,-112.3371697,NAD83,16020310,USGS-10010060,USGS-10010060,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,71851,,,,,,7,,0.5,seconds,Interpolated from MAP.,4210,feet,10,feet,Interpolated from topographic map.,NGVD29,,,,,,,NWIS,,FALSE
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Nitrate,NITRATE,,,,,NITRATE_DISSOLVED_NA_NA,2/2/2021,12:45:00,MST,2/2/2021 19:45,,,,,No Result Value,Actual,NA - Not Available,Not Detected,Historical Lower Reporting Limit,0.04,mg/l as N,0.04,MG/L,Numeric,,,NA - Not Available,,,,,,,NA - Not Available,,,,,NA - Not Available,,,,,NA - Not Available,,,,,,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,,Accepted,,,"Stable, normal stage",Routine sample,,,,,,,,,NWIS-120640019,nwisut.01.02100631,USGS-UT,USGS Utah Water Science Center,,,,,,,US,49,3,,,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",,41.2208611,41.2208611,-112.7663889,-112.7663889,NAD83,16020310,USGS-10010026,USGS-10010026,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,618,,,,,,7,,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),4216.93,feet,0.1,feet,Reported method of determination.,NAVD88,,,,,,,NWIS,,FALSE
